game_id	player_id	sector_id	tic	pos_x	pos_y	mom_x	mom_y	angle	fov	health	armor	ammo
1	1	92	0	391.34	-1329.26	0.95	0.71	103.72	90.00	100	54	97
1	1	92	1	390.39	-1329.76	-0.95	-0.50	105.52	90.00	100	54	97
1	1	92	2	390.67	-1329.47	0.28	0.29	103.60	90.00	100	54	97
1	1	92	3	392.33	-1328.76	1.67	0.71	107.28	90.00	100	54	97
1	1	92	4	395.32	-1327.57	2.98	1.18	111.62	90.00	100	54	97
1	1	92	5	396.62	-1327.46	1.30	0.11	106.84	90.00	100	54	97
1	1	92	6	396.99	-1325.60	0.37	1.86	108.61	90.00	100	54	97
1	1	92	7	399.32	-1323.18	2.33	2.42	109.30	90.00	100	54	97
1	1	92	8	400.91	-1321.68	1.59	1.49	105.83	90.00	100	54	97
1	1	92	9	404.15	-1320.35	3.25	1.33	103.01	90.00	100	54	97
1	1	92	10	407.00	-1320.15	2.85	0.21	108.98	90.00	100	54	97
1	1	92	11	411.01	-1320.26	4.01	-0.11	103.74	90.00	100	54	97
1	1	92	12	413.07	-1319.48	2.06	0.78	105.92	90.00	100	54	97
1	1	92	13	414.95	-1316.89	1.87	2.59	110.43	90.00	100	54	97
1	1	92	14	416.02	-1313.74	1.07	3.15	111.74	90.00	100	54	97
1	1	92	15	415.09	-1311.30	-0.93	2.44	105.97	90.00	100	54	97
1	1	92	16	415.67	-1307.06	0.58	4.23	101.00	90.00	100	54	97
1	1	92	17	416.16	-1302.63	0.48	4.43	98.18	90.00	100	54	97
1	1	92	18	415.44	-1298.95	-0.71	3.68	104.12	90.00	100	54	97
1	1	92	19	414.09	-1294.92	-1.36	4.03	100.88	90.00	100	54	97
1	1	92	20	414.16	-1292.61	0.08	2.31	97.74	90.00	100	54	97
1	1	92	21	414.13	-1289.15	-0.03	3.45	101.43	90.00	100	54	97
1	1	92	22	415.02	-1285.01	0.89	4.15	107.24	90.00	100	54	97
1	1	92	23	414.67	-1281.07	-0.35	3.94	106.30	90.00	100	54	97
1	1	92	24	414.52	-1278.92	-0.15	2.14	112.29	90.00	100	54	97
1	1	92	25	414.31	-1277.92	-0.21	1.00	111.11	90.00	100	54	97
1	1	92	26	413.92	-1277.23	-0.39	0.69	116.59	90.00	100	54	97
1	1	92	27	415.41	-1276.23	1.49	1.01	117.10	90.00	100	54	97
1	1	92	28	415.52	-1273.38	0.12	2.85	112.06	90.00	100	54	97
1	1	92	29	417.20	-1271.54	1.68	1.84	113.20	90.00	100	54	97
1	1	92	30	417.69	-1268.84	0.49	2.70	110.06	90.00	100	54	97
1	1	92	31	416.48	-1266.31	-1.22	2.53	116.04	90.00	100	54	97
1	1	92	32	416.78	-1262.26	0.31	4.05	114.48	90.00	100	54	97
1	1	92	33	417.71	-1260.17	0.92	2.08	118.28	90.00	100	54	97
1	1	92	34	417.06	-1257.88	-0.65	2.29	115.55	90.00	100	54	97
1	1	92	35	416.37	-1253.96	-0.69	3.92	119.70	90.00	100	54	97
1	1	92	36	416.22	-1251.00	-0.15	2.96	122.60	90.00	100	54	97
1	1	93	37	417.69	-1247.85	1.47	3.15	126.61	90.00	100	54	97
1	1	93	38	420.34	-1243.27	2.65	4.59	131.40	90.00	100	54	97
1	1	93	39	422.62	-1238.19	2.28	5.07	127.25	90.00	100	54	97
1	1	93	40	423.00	-1232.18	0.38	6.02	125.24	90.00	100	54	97
1	1	93	41	424.53	-1227.73	1.53	4.45	129.71	90.00	100	54	97
1	1	93	42	427.24	-1224.37	2.71	3.36	123.99	90.00	100	54	97
1	1	93	43	430.52	-1221.41	3.28	2.96	129.76	90.00	100	54	97
1	1	93	44	435.64	-1219.39	5.13	2.02	125.06	90.00	100	54	97
1	1	93	45	440.31	-1217.06	4.67	2.33	122.12	90.00	100	54	96
1	1	93	46	445.95	-1214.05	5.63	3.01	120.49	90.00	100	54	96
1	1	93	47	452.46	-1211.84	6.51	2.21	118.20	90.00	100	54	96
1	1	93	48	460.73	-1208.92	8.28	2.92	123.04	90.00	100	84	96
1	1	93	49	468.73	-1205.68	7.99	3.24	124.89	90.00	100	84	96
1	1	93	50	477.91	-1203.76	9.18	1.92	119.91	90.00	100	84	96
1	1	93	51	487.78	-1202.94	9.87	0.82	116.30	90.00	100	84	96
1	1	93	52	497.31	-1201.60	9.53	1.34	112.63	90.00	100	84	96
1	1	106	53	507.84	-1199.18	10.53	2.42	107.91	90.00	100	84	96
1	1	106	54	517.37	-1195.37	9.53	3.81	107.39	90.00	100	84	96
1	1	106	55	528.46	-1191.11	11.09	4.26	110.02	90.00	100	84	96
1	1	106	56	539.45	-1187.82	10.99	3.30	106.99	90.00	100	84	96
1	1	106	57	548.76	-1185.37	9.30	2.44	104.25	90.00	100	84	96
1	1	106	58	558.88	-1184.68	10.13	0.70	103.14	90.00	100	84	96
1	1	106	59	569.35	-1183.20	10.46	1.48	107.42	90.00	100	84	96
1	1	106	60	581.23	-1179.90	11.88	3.29	106.45	90.00	100	84	96
1	1	106	61	592.85	-1178.49	11.62	1.41	104.48	90.00	100	84	96
1	1	106	62	604.96	-1178.98	12.11	-0.48	103.21	90.00	100	84	96
1	1	106	63	615.27	-1179.94	10.31	-0.97	99.75	90.00	100	84	96
1	1	106	64	624.59	-1182.58	9.32	-2.64	93.98	90.00	100	84	96
1	1	106	65	634.52	-1184.20	9.93	-1.62	99.38	90.00	100	84	96
1	1	106	66	644.70	-1186.95	10.18	-2.75	101.77	90.00	100	84	96
1	1	106	67	656.17	-1187.84	11.46	-0.89	97.07	90.00	100	84	96
1	1	106	68	668.49	-1190.43	12.32	-2.59	99.36	90.00	100	84	96
1	1	106	69	679.29	-1191.08	10.81	-0.65	102.75	90.00	100	84	96
1	1	106	70	691.50	-1190.45	12.20	0.64	98.02	90.00	100	84	96
1	1	106	71	704.50	-1187.95	13.00	2.50	95.26	90.00	100	84	96
1	1	106	72	716.57	-1184.04	12.07	3.91	99.22	90.00	100	84	96
1	1	106	73	728.16	-1182.02	11.59	2.02	103.44	90.00	100	84	96
1	1	106	74	740.55	-1180.89	12.39	1.13	97.56	90.00	100	84	96
1	1	119	75	753.55	-1179.18	13.00	1.71	97.45	90.00	100	84	96
1	1	119	76	766.55	-1177.58	13.00	1.60	97.82	90.00	100	84	96
1	1	119	77	778.56	-1177.49	12.01	0.09	94.13	90.00	100	84	96
1	1	119	78	790.50	-1176.51	11.94	0.98	99.85	90.00	100	84	96
1	1	119	79	801.16	-1177.47	10.66	-0.96	100.26	90.00	100	84	96
1	1	119	80	813.30	-1178.46	12.13	-1.00	104.73	90.00	100	84	96
1	1	119	81	826.30	-1179.55	13.00	-1.08	108.60	90.00	100	84	96
1	1	119	82	839.30	-1181.42	13.00	-1.87	114.52	90.00	100	84	96
1	1	119	83	852.30	-1183.49	13.00	-2.07	113.84	90.00	100	84	96
1	1	119	84	865.30	-1183.76	13.00	-0.28	110.33	90.00	100	84	96
1	1	119	85	876.31	-1184.24	11.01	-0.48	111.46	90.00	100	84	96
1	1	119	86	888.07	-1183.02	11.76	1.22	114.91	90.00	100	84	96
1	1	119	87	900.42	-1180.16	12.35	2.85	118.83	90.00	100	84	96
1	1	119	88	911.92	-1178.81	11.51	1.35	121.09	90.00	100	84	96
1	1	119	89	921.59	-1177.73	9.66	1.08	118.96	90.00	100	84	96
1	1	119	90	933.06	-1174.65	11.47	3.08	121.03	90.00	100	84	96
1	1	119	91	946.06	-1172.85	13.00	1.80	122.05	90.00	100	84	96
1	1	119	92	959.06	-1169.62	13.00	3.23	120.01	90.00	100	84	96
1	1	119	93	971.87	-1167.12	12.82	2.49	117.89	90.00	100	84	96
1	1	119	94	984.86	-1164.98	12.99	2.15	114.14	90.00	100	84	96
1	1	119	95	997.86	-1161.12	13.00	3.86	113.40	90.00	100	84	96
1	1	132	96	1009.50	-1157.06	11.63	4.06	114.03	90.00	100	84	96
1	1	132	97	1022.46	-1153.01	12.96	4.05	116.62	90.00	100	84	96
1	1	132	98	1035.46	-1149.42	13.00	3.59	121.69	90.00	100	84	96
1	1	132	99	1048.12	-1144.09	12.66	5.32	121.78	90.00	100	84	96
1	1	132	100	1060.74	-1140.18	12.62	3.92	122.24	90.00	100	84	96
1	1	132	101	1072.11	-1135.47	11.37	4.71	123.10	90.00	100	84	96
1	1	132	102	1084.73	-1131.21	12.62	4.25	125.07	90.00	100	84	96
1	1	132	103	1097.71	-1125.48	12.98	5.73	129.56	90.00	100	84	96
1	1	132	104	1110.71	-1121.13	13.00	4.35	129.19	90.00	100	84	96
1	1	132	105	1123.71	-1115.34	13.00	5.79	127.75	90.00	100	84	96
1	1	132	106	1134.98	-1109.03	11.27	6.31	132.80	90.00	100	84	96
1	1	132	107	1147.75	-1102.95	12.76	6.09	135.13	90.00	100	84	96
1	1	132	108	1159.09	-1096.73	11.35	6.21	135.92	90.00	100	84	96
1	1	132	109	1169.40	-1088.87	10.31	7.86	131.64	90.00	100	84	96
1	1	132	110	1181.32	-1080.30	11.91	8.57	127.54	90.00	100	84	96
1	1	132	111	1192.23	-1070.35	10.91	9.95	123.93	90.00	100	84	96
1	1	132	112	1205.12	-1061.21	12.89	9.13	129.66	90.00	100	84	96
1	1	132	113	1216.20	-1051.65	11.08	9.56	129.62	90.00	100	84	96
1	1	132	114	1227.83	-1041.61	11.63	10.04	131.76	90.00	100	84	96
1	1	132	115	1240.04	-1032.33	12.21	9.28	131.05	90.00	100	84	96
1	1	145	116	1250.96	-1024.52	10.92	7.81	131.52	90.00	100	84	96
1	1	145	117	1263.17	-1016.78	12.21	7.74	135.20	90.00	100	84	96
1	1	145	118	1276.17	-1007.61	13.00	9.18	137.89	90.00	100	84	96
1	1	146	119	1287.23	-998.28	11.06	9.32	137.34	90.00	100	84	96
1	1	146	120	1296.72	-990.02	9.49	8.26	131.64	90.00	100	84	96
1	1	146	121	1307.50	-980.13	10.78	9.90	129.27	90.00	100	84	96
1	1	146	122	1316.67	-968.68	9.17	11.44	124.90	90.00	100	84	96
1	1	146	123	1326.82	-958.62	10.14	10.06	123.88	90.00	100	84	96
1	1	146	124	1336.44	-948.78	9.62	9.84	129.28	90.00	100	84	96
1	1	146	125	1345.50	-939.36	9.06	9.43	125.56	90.00	100	84	96
1	1	146	126	1354.95	-931.84	9.45	7.51	129.00	90.00	100	84	96
1	1	146	127	1363.22	-925.46	8.28	6.38	133.44	90.00	100	84	96
1	1	146	128	1370.08	-920.57	6.86	4.90	130.45	90.00	100	84	96
1	1	146	129	1375.89	-916.37	5.81	4.19	126.54	90.00	100	84	96
1	1	146	130	1382.81	-912.13	6.92	4.25	121.85	90.00	100	84	96
1	1	146	131	1389.81	-908.05	7.00	4.08	127.42	90.00	100	84	96
1	1	146	132	1398.45	-905.68	8.64	2.37	122.39	90.00	100	84	96
1	1	146	133	1406.40	-901.33	7.94	4.35	122.75	90.00	100	84	96
1	1	146	134	1414.95	-895.90	8.55	5.43	125.40	90.00	100	84	96
1	1	146	135	1423.16	-892.09	8.21	3.81	124.52	90.00	100	84	96
1	1	146	136	1432.70	-889.91	9.54	2.18	119.68	90.00	100	84	96
1	1	146	137	1441.55	-889.24	8.86	0.67	117.93	90.00	100	84	96
1	1	146	138	1450.81	-889.17	9.26	0.08	118.86	90.00	100	84	96
1	1	146	139	1459.54	-888.04	8.73	1.13	119.75	90.00	100	84	96
1	1	146	140	1468.84	-888.81	9.30	-0.77	124.90	90.00	100	84	96
1	1	146	141	1477.50	-891.56	8.66	-2.74	129.34	90.00	100	84	96
1	1	146	142	1487.15	-895.44	9.64	-3.88	128.37	90.00	100	84	96
1	1	146	143	1495.13	-901.11	7.98	-5.67	124.26	90.00	100	84	96
1	1	159	144	1500.00	-907.70	-7.75	-6.58	127.32	90.00	100	84	96
1	1	146	145	1492.92	-916.09	-7.08	-8.40	126.07	90.00	100	84	95
1	1	146	146	1484.86	-925.18	-8.06	-9.09	120.16	90.00	100	84	95
1	1	146	147	1478.13	-933.04	-6.73	-7.86	115.02	90.00	100	84	95
1	1	146	148	1471.70	-940.61	-6.42	-7.57	117.54	90.00	100	84	95
1	1	146	149	1465.75	-946.85	-5.95	-6.24	122.57	90.00	100	84	95
1	1	146	150	1459.38	-953.85	-6.37	-7.00	120.65	90.00	100	84	95
1	1	146	151	1454.63	-961.45	-4.75	-7.60	123.38	90.00	100	84	95
1	1	146	152	1450.30	-968.02	-4.34	-6.56	125.24	90.00	100	84	95
1	1	146	153	1445.76	-972.88	-4.54	-4.86	126.02	90.00	100	84	95
1	1	146	154	1439.49	-977.98	-6.27	-5.10	123.65	90.00	100	84	95
1	1	146	155	1431.45	-981.74	-8.04	-3.77	118.57	90.00	100	84	95
1	1	146	156	1423.63	-984.35	-7.82	-2.60	123.32	90.00	100	84	95
1	1	146	157	1414.41	-988.70	-9.22	-4.35	118.56	90.00	100	84	95
1	1	146	158	1404.18	-993.30	-10.23	-4.60	117.84	90.00	100	84	95
1	1	146	159	1393.31	-997.51	-10.87	-4.21	121.31	90.00	100	84	95
1	1	145	160	1383.33	-1001.10	-9.98	-3.59	126.18	90.00	100	84	95
1	1	145	161	1375.22	-1003.89	-8.11	-2.79	124.89	90.00	100	84	95
1	1	145	162	1368.36	-1006.00	-6.86	-2.11	128.84	90.00	100	84	95
1	1	145	163	1360.95	-1008.66	-7.41	-2.66	125.00	90.00	100	84	95
1	1	145	164	1351.85	-1009.94	-9.10	-1.28	120.21	90.00	100	84	95
1	1	145	165	1343.82	-1012.70	-8.03	-2.76	118.73	90.00	100	84	95
1	1	145	166	1335.53	-1015.82	-8.28	-3.12	120.85	90.00	100	84	95
1	1	145	167	1327.39	-1019.70	-8.15	-3.88	124.55	90.00	100	84	95
1	1	145	168	1319.08	-1024.45	-8.30	-4.75	123.14	90.00	100	84	95
